"sampling_campaigns","Q.m3.s.","V_m.s","SSC.15s._SD","SSC.15S._D25","SSC.15s._D50","SSC.15s._D75","SSC.15s._Interquartile","SSC.15s._interquartile.50","SSC_.1s._SD","SSC.1s._D25","SSC.1s._D50","SSC.1s._D75","SSC.1s._Interquartile","SSC.1s._Interquartile.D50","turb_SD","turb_D25","turb_D50","turb_D75","turb_Interquartile","turb_Interquartile.D50","ODO_SD","ODO_D25","ODO_D50","ODO_D75","ODO_Interquartile","ODO_Interquartile.D50","ORP_SD","ORP_D25","ORP_D50","ORP_D75","ORP_Interquartile","ORP_Interquartile.D50","cond_SD","cond_D25","cond_D50","cond_D75","cond_Interquartile","cond_Interquartile.D50","ph_SD","ph_D25","ph_D50","ph_D75","ph_Interquartile","ph_Interquartile.D50","Na_SD","Na_D25","Na_D50","Na_D75","Na_Interquartile","Na_interquartile.50","Mg_SD","Mg_D25","Mg_D50","Mg_D75","Mg_Interquartile","Mg_interquartile.50","Al_SD","Al_D25","Al_D50","Al_D75","Al_Interquartile","Al_interquartile.50","Si_2_SD","Si_2_D25","Si_2_D50","Si_2_D75","Si_2_Interquartile","Si_2_interquartile.50","P_SD","P_D25","P_D50","P_D75","P_Interquartile","P_interquartile.50","S_SD","S_D25","S_D50","S_D75","S_Interquartile","S_interquartile.50","K_SD","K_D25","K_D50","K_D75","K_Interquartile","K_interquartile.50","Mn_SD","Mn_D25","Mn_D50","Mn_D75","Mn_Interquartile","Mn_interquartile.50","Fe_SD","Fe_D25","Fe_D50","Fe_D75","Fe_Interquartile","Fe_interquartile.50","Pb_SD","Pb_D25","Pb_D50","Pb_D75","Pb_Interquartile","Pb_interquartile.50","dm","d16","d50","d84"
"KAA-HW1",4930,1.98518518518519,2.00373918300003,118.361525207444,119.844775386292,120.820803567802,2.45927836035776,0.0205205304313921,2.07555769665203,113.923465589147,114.377117484861,115.116215202347,1.19274961319941,0.0104282188555529,1.23640502644896,64.66,64.93,65.37,0.710000000000008,0.0109348529185278,0,12.37,12.37,12.37,0,0,1.19991209160719,65,65.9,67.2,2.2,0.0333839150227618,0.0479234376811659,397.2,397.2,397.2,0,0,0.00408172786803053,7.89,7.89,7.89,0,0,10.2043977735748,36.7844178225,42.09825366,49.65040231,12.8659844875,0.305618009511989,3.94709873282417,13.745726485,16.036911615,18.9696163475,5.2238898625,0.325741638284885,0.016120074809262,0.03608106046,0.04267432187,0.0491185688225,0.0130375083625,0.30551178767917,1.75142883525748,5.26146637425,6.3512211875,7.58004720225,2.318580828,0.365060633152449,0.0209987114106183,0.07713389374,0.088944436595,0.102983758475,0.025849864735,0.290629360582775,3.5081234039331,13.1386451025,14.50256279,17.506608705,4.3679636025,0.301185636342279,1.30979683488744,4.63324794725,5.310032037,6.4729708285,1.83972288125,0.346461729125345,0.0016399570263199,0.004988259785,0.0059696826305,0.0071857732265,0.0021975134415,0.36811227288241,0.0184880111927077,0.0681980744,0.08047866149,0.09286303029,0.02466495589,0.306478207183711,1.84880111927077e-05,6.81980744e-05,8.047866149e-05,9.286303029e-05,2.466495589e-05,0.358819731200269,0.0104271490916471,0.0018920881326408,0.00678920053523122,0.0194859345083341
"KAA-HW2",4120,1.95763636363636,1.06850110568135,38.2200629342828,38.8379519934068,39.7426217035651,1.52255876928235,0.0392028593459516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40592517718991,15.592169715,19.97352993,26.19523158,10.603061865,0.530855682603921,3.75216316186623,8.295025293,11.0409761,14.382818395,6.087793102,0.551381784260904,0.00689656616121402,0.01847160694,0.02436899581,0.030959995435,0.012488388495,0.512470378031552,1.74143160544693,2.9047848685,4.304719634,6.0488856315,3.144100763,0.730384561672013,0.0185519737602078,0.04444884764,0.0583450337,0.074917420065,0.030468572425,0.522213640010289,4.87427382825176,10.293841585,13.98379222,19.926899325,9.63305774,0.688873060214849,1.02820000517279,2.433197494,3.228865543,4.325753549,1.892556055,0.586136533031843,0.0026584383440844,0.0052290301505,0.007372570469,0.010020079004,0.0047910488535,0.649847820871334,0.00942518433201881,0.024939822005,0.03077241883,0.039345646035,0.01440582403,0.468140775984622,9.42518433201881e-06,2.4939822005e-05,3.077241883e-05,3.9345646035e-05,1.440582403e-05,0.600650079708776,0.0116250123018042,0.00215043482380368,0.00768617552341578,0.021792838877895
"KAA-MW",1350,1.35492392807745,0.581035001157679,12.9379643635187,13.1116742825273,13.4646456874663,0.526681323947599,0.0401688840493436,0.249928102422567,12.6807189102695,12.8302147920862,13.0169659823505,0.336247072080967,0.0262074390436835,0.133779127902724,6.47,6.55,6.65,0.180000000000001,0.0274809160305344,0.00475898546669493,12.59,12.59,12.59,0,0,0.713965654907667,100.1,100.7,101.3,1.2,0.0119165839126117,0.0275327457430152,521.9,521.9,521.9,0,0,0.00553171413792718,7.95,7.95,7.95,0,0,10.2251432686823,21.50684426,30.0935929,40.67740016,19.1705559,0.637031143596018,3.4793777061803,6.650733382,9.412645902,13.16364083,6.512907448,0.691931632806471,0.0833915856808581,0.01582157695,0.01889881853,0.03826601615,0.0224444392,1.18761070510157,1.21844893678305,2.157061809,3.080859527,4.288302769,2.13124096,0.691768300801207,0.0195014345434657,0.04652469813,0.06975059869,0.08374088922,0.03721619109,0.53356088390587,5.36598047313719,12.11725131,17.65159689,21.42411998,9.30686867,0.527253637616919,0.981001224657492,2.465273422,3.17953766,4.12787532,1.662601898,0.522906810922944,0.00125052255140478,0.002689161246,0.003908387281,0.004804296327,0.002115135081,0.541178478213352,0.0160642828430109,0.02050627833,0.02871540251,0.03272864559,0.01222236726,0.425638026691202,1.60642828430109e-05,2.050627833e-05,2.871540251e-05,3.272864559e-05,1.222236726e-05,0.475860811850811,0.0128524137106879,0.00233380314205198,0.00880420882843266,0.0247495857189375
"KAA-LW",778,1.09698924731183,0.690901559580162,6.8521779434068,7.41870035753406,7.77775207879161,0.925574135384813,0.124762302125445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.58445977504618,48.99287713,52.32840125,56.290444845,7.297567715,0.139457112020979,3.08365143080962,20.479812805,22.12439119,23.434471365,2.95465856,0.133547564523966,0.00099144085980075,0.0077191490095,0.008105001271,0.008793585146,0.0010744361365,0.132564585812512,0.649001914506456,2.349941036,2.704972954,2.953586013,0.603644977,0.223161187658958,0.0117321949793044,0.080357728465,0.08596458911,0.093070770105,0.01271304164,0.147886958707293,5.54861832533162,34.65857103,36.78892785,40.100884995,5.442313965,0.147933475723729,1.33755262626618,7.962797113,8.421294262,9.2014341995,1.2386370865,0.147083933652478,0.000994300895501975,0.006022614745,0.006490538559,0.0070167131385,0.0009940983935,0.153161156730446,0.00211613955260018,0.01222158544,0.01329717656,0.01428515402,0.00206356858,0.155188477094268,2.11613955260018e-06,1.222158544e-05,1.329717656e-05,1.428515402e-05,2.06356858e-06,0.265596898906958,0.0125897659829655,0.00239683550157253,0.00876556405661709,0.02426973430851
"BR-HW",3450,1.73655,2.60689165640391,42.4967048722113,43.6604121302267,44.7435048023075,2.2467999300962,0.0514608044329639,2.46731993175402,45.0961421955923,45.7989319685149,46.4836484832951,1.38750628770279,0.0302956035886743,1.41237526816895,24.47,24.87,25.26,0.790000000000003,0.0317651789304384,0.00172113940477529,13.68,13.68,13.68,0,0,0.791671472355659,150,150.7,151.3,1.30000000000001,0.00862641008626418,0.49274912773317,449.3,449.7,450,0.699999999999989,0.0015565932844118,0.00522287959453937,7.77,7.77,7.77,0,0,4.48166287029714,30.41791772,33.395127675,37.2150189475,6.7971012275,0.203535716157432,2.38946647144615,16.632978845,18.16650307,20.276849635,3.64387079,0.200581849790203,0.00369059603783218,0.0327431782775,0.03512925258,0.0380704536975,0.00532727542,0.151647844139814,1.01294359799688,6.69222255975,7.6190192325,8.48873462825,1.7965120685,0.235793087493036,0.0111278728046269,0.0849748504625,0.09630273431,0.103930462925,0.0189556124625,0.196833585238417,2.26557346767339,15.55511239,17.578198355,18.9651328625,3.4100204725,0.193991466226119,0.69281295420813,4.89542520875,5.559133382,6.110953359,1.21552815025,0.218654251791435,0.00327770598816756,0.0178102637175,0.01951989764,0.0219512932625,0.004141029545,0.212144019470381,0.00648604462274594,0.0485057656325,0.05213709334,0.056842997495,0.0083372318625,0.15990979412931,6.48604462274594e-06,4.85057656325e-05,5.213709334e-05,5.6842997495e-05,8.3372318625e-06,0.187283792213705,0.0113811306064886,0.00214074767435653,0.00760547654352042,0.0215406205946411
"BR-MW",2070,1.43273037542662,1.17946370456195,53.2032808689869,54.0668768718308,54.7776481265396,1.5743672575527,0.0291188866204506,0.496551933993491,53.9674306670841,54.2287580693872,54.5248552934636,0.557424626379515,0.0102791331799684,0.285018032646322,29.54,29.69,29.86,0.32,0.0107780397440216,0.00879585599901618,13.33,13.34,13.34,0.00999999999999979,0.000749625187406281,0.470747136358018,120.8,121,121.3,0.5,0.00413223140495868,0.805802657378539,1000.3,1000.9,1001.6,1.30000000000007,0.00129883105205322,0.00749073501808134,7.88,7.88,7.88,0,0,25.4844983696821,52.75566666,57.79744668,68.8085257875,16.0528591275,0.277743396111906,5.03831352646667,9.383640156,10.344610625,12.3794082175,2.9957680615,0.289596986305127,0.0410167171258974,0.012056975855,0.0140652818,0.0214541537875,0.0093971779325,0.668111600330681,1.67055675262763,2.73902048075,3.1842573055,3.88689636825,1.1478758875,0.360484652266428,0.0270708374440094,0.058548593455,0.063521624975,0.083220632755,0.0246720393,0.388403780755138,5.56296096259715,13.0402161025,14.507192005,17.6693324625,4.62911636,0.319091134825026,1.76320059088591,4.00496828075,4.486850257,5.224790096,1.21982181525,0.271865951698954,0.0022549609202364,0.00422207253975,0.0046371310905,0.00581606364475,0.001593991105,0.343745103144825,0.0148021567581384,0.0241893926525,0.026772775755,0.0372993508725,0.01310995822,0.489674972067535,1.48021567581384e-05,2.41893926525e-05,2.6772775755e-05,3.72993508725e-05,1.310995822e-05,0.583212904388854,0.0120336587980417,0.00244856786785741,0.00838846973629537,0.0223391991443701
"BR-LW",840,1.01842857142857,0.688444768724305,5.98771769644834,6.31780473032746,6.62715851411683,0.639440817668497,0.101212501013046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.564269106727,39.27301992,41.01281078,45.788737925,6.51571800499999,0.158870311034068,3.91319812168295,14.408877395,15.04447382,16.8100115,2.401134105,0.159602398444002,0.00176425355008317,0.0047305387435,0.005090847869,0.0057214047405,0.000990865996999999,0.194636732917072,0.379089606408512,1.077400562,1.34555715,1.4585787185,0.3811781565,0.283286485824849,0.0115654874590407,0.04494785823,0.04668099811,0.052450046535,0.007502188305,0.160711822984626,4.84936510575778,19.99639792,20.77608647,22.908568435,2.912170515,0.140169348987119,1.35718578851217,5.396164153,5.671611686,6.3386592615,0.942495108500001,0.166177651200361,0.00063081305864025,0.0025347522065,0.002591851253,0.0028745777195,0.000339825513,0.13111304616986,0.00167625168008611,0.0058089521155,0.00641456917,0.007670998552,0.0018620464365,0.290283943808497,1.67625168008611e-06,5.8089521155e-06,6.41456917e-06,7.670998552e-06,1.8620464365e-06,2.48027701266352,0.0111837811915156,0.00216025861708059,0.00742868990027624,0.0210226611453743
"EM-HW",4610,1.57669491525424,16.8066175538976,23.35056129,46.64630832,53.25443787,29.90387658,0.641077025321175,0.617977690265333,86.732384446131,87.1580176906452,87.4303700186134,0.697985572482395,0.00800827727587603,0.362946943637529,48.58,48.83,48.99,0.410000000000004,0.00839647757526119,0.00846397822632026,11.73,11.73,11.73,0,0,3.34138057177614,121.8,124.3,127.6,5.8,0.0466613032984714,0.170527857978505,612.6,612.7,612.8,0.199999999999932,0.000326424024808115,0.00488340713843348,7.92,7.92,7.93,0.00999999999999979,0.00126262626262624,3.10047270590854,18.5443556,19.8579522,21.11513818,2.57078258,0.129458594426469,0.973626176851972,5.729844539,6.183862606,6.607026989,0.87718245,0.14185024892838,0.00570030898705541,0.02517699084,0.02683666268,0.02951129313,0.00433430229,0.161506754460574,0.488768867794177,2.773171119,2.972018362,3.212028051,0.438856932,0.147662927528037,0.00821068960836882,0.05010177377,0.05409616751,0.05795875057,0.0078569768,0.145240913758772,1.4352174195833,8.804834866,9.449865607,10.18287219,1.378037324,0.145826129313333,0.421542452841021,2.590790602,2.744110913,2.996137021,0.405346419,0.147715027508438,0.000450458156213821,0.002638244444,0.002796588911,0.003066251907,0.000428007463,0.153046256214666,0.00649477915641968,0.03193938474,0.03444565146,0.03682078019,0.00488139545,0.141712966458728,6.49477915641968e-06,3.193938474e-05,3.444565146e-05,3.682078019e-05,4.88139545e-06,0.549419376530624,0.0100670658927304,0.00174491100240026,0.00621153932664513,0.0194316864568055
"EM-MW",2320,1.27181196581197,1.29344679270062,34.7439851925,35.858871325,36.5680301,1.8240449075,0.0508673262738282,0.328004764578798,35.836662206755,36.1209827612336,36.3163901206975,0.479727913942519,0.0132811423519014,0.184578081142422,19.23,19.39,19.5,0.27,0.0139247034553894,0.00193335565214208,12.51,12.51,12.51,0,0,0.465114567717899,132.7,133.1,133.5,0.800000000000011,0.00601051840721271,0.315423136878327,741.3,741.6,741.9,0.600000000000023,0.00080906148867317,0.00231746137298708,7.88,7.88,7.88,0,0,19.441638698305,77.680980245,86.658641125,97.388663615,19.70768337,0.227417405975393,3.75104309728318,14.6288440225,16.45658339,18.664312835,4.0354688125,0.245219114859053,0.0299069228276963,0.0201898733725,0.023905662585,0.02860804511,0.0084181717375,0.352141326665512,1.44116572339669,4.699774867,5.3752874625,6.16515874525,1.46538387825,0.272614978914721,0.0220848228699597,0.0853620195825,0.096923671835,0.112731776575,0.0273697569925,0.282384648397282,5.68163908321417,22.814036835,24.972472415,28.8300570675,6.0160202325,0.240906071794734,1.50843643278959,6.41105207325,7.161171682,8.054278757,1.64322668375,0.229463383468426,0.00220647692792465,0.0076738910705,0.008687349464,0.0098613456775,0.002187454607,0.251797699179102,0.0169855718404166,0.035382878585,0.039146797575,0.0503876794975,0.0150048009125,0.383295744275194,1.69855718404166e-05,3.5382878585e-05,3.9146797575e-05,5.03876794975e-05,1.50048009125e-05,0.362601369300184,0.0127054546639837,0.00261853245035138,0.00915127694228805,0.023749600204842
"EM-LW",940,0.933538461538462,0.833382898449288,15.9009196,16.37298458,17.34294995,1.44203035,0.088073762175375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3017300458602,79.3700023725,105.7330222,120.54159035,41.1715879775,0.389391952682688,6.25890479355082,18.84843719,24.54506694,27.4859644975,8.6375273075,0.351904817722204,0.00295022990280665,0.00888414268625,0.01173999871,0.01330349491,0.00441935222375,0.376435494834053,0.561361219034195,1.62153576275,2.003142953,2.38858076475,0.767045002,0.38292075003995,0.0247426696815288,0.0796031677825,0.1026093652,0.1134609819,0.0338578141175,0.329968069206026,9.94393029838866,32.754069325,43.55197278,47.6924179325,14.9383486075,0.343000503856854,2.49016121037759,7.28838336325,9.77616852,10.905886,3.61750263675,0.37003276174601,0.00347011652625913,0.01038924774,0.013833055255,0.0154010843875,0.0050118366475,0.362308727545092,0.00270581808344021,0.00809888630075,0.010904458475,0.01245004151,0.00435115520925,0.399025336216891,2.70581808344021e-06,8.09888630075e-06,1.0904458475e-05,1.245004151e-05,4.35115520925e-06,0.377579821242348,0.0129430683162349,0.00250320874859859,0.00940607464591767,0.0243424244950591
